,symbol
1352,CENTA
1353,CENX
1354,CEO
1355,CEPU
1356,CEQP
1357,CEQP-
1358,CERC
1359,CERN
1360,CERS
1361,CET
1362,CETV
1363,CETX
1364,CETXP
1365,CETXW
1366,CEV
1367,CEVA
1368,CEW
1369,CEY
1370,CEZ
1371,CF
1372,CFA
1373,CFB
1374,CFBI
1375,CFBK
1376,CFCV
1377,CFFA
1378,CFFAU
1379,CFFAW
1380,CFFI
1381,CFFN
1382,CFG
1383,CFG-D
1384,CFG-E
1385,CFMS
1386,CFO
1387,CFR
1388,CFRX
1389,CFX
1390,CFXA
1391,CG
1392,CGA
1393,CGBD
1394,CGC
1395,CGEN
1396,CGIX
1397,CGNX
1398,CGO
1399,CGRO
1400,CGROU
1401,CGROW
1402,CGW
1403,CHA
1404,CHAD
1405,CHAP
1406,CHAQ
1407,CHAQ=
1408,CHAQ+
1409,CHAU
1410,CHCI
1411,CHCO
1412,CHCT
1413,CHD
1414,CHDN
1415,CHE
1416,CHEF
1417,CHEK
1418,CHEKZ
1419,CHEP
1420,CHFS
1421,CHGG
1422,CHGX
1423,CHH
1424,CHI
1425,CHIC
1426,CHIE
1427,CHIH
1428,CHII
1429,CHIK
1430,CHIL
1431,CHIM
1432,CHIQ
1433,CHIR
1434,CHIS
1435,CHIU
1436,CHIX
1437,CHK
1438,CHK-D
1439,CHKP
1440,CHL
1441,CHMA
1442,CHMG
1443,CHMI
1444,CHMI-A
1445,CHMI-B
1446,CHN
1447,CHNA
1448,CHNG
1449,CHNGU
1450,CHNR
1451,CHPM
1452,CHPMU
1453,CHPMW
1454,CHRA
1455,CHRS
1456,CHRW
1457,CHS
1458,CHSCL
1459,CHSCM
1460,CHSCN
1461,CHSCO
1462,CHSCP
1463,CHT
1464,CHTR
1465,CHU
1466,CHUY
1467,CHW
1468,CHWY
1469,CHX
1470,CHY
1471,CI
1472,CIA
1473,CIB
1474,CIBR
1475,CID
1476,CIDM
1477,CIEN
1478,CIF
1479,CIG
1480,CIG.C
1481,CIGI
1482,CIH
1483,CII
1484,CIIC
1485,CIICU
1486,CIICW
1487,CIK
1488,CIL
1489,CIM
1490,CIM-A
1491,CIM-B
1492,CIM-C
1493,CIM-D
1494,CINF
1495,CINR
1496,CIO
1497,CIO-A
1498,CIR
1499,CIT
1500,CIT-B
1501,CIVB
1502,CIX
1503,CIZ
1504,CIZN
1505,CJJD
1506,CKH
1507,CKPT
1508,CKX
1509,CL
1510,CLAR
1511,CLB
1512,CLBK
1513,CLBS
1514,CLCT
1515,CLDB
1516,CLDR
1517,CLDT
1518,CLDX
1519,CLEU
1520,CLF
1521,CLFD
1522,CLGN
1523,CLGX
1524,CLH
1525,CLI
1526,CLIR
1527,CLIX
1528,CLLS
1529,CLM
1530,CLMT
1531,CLNC
1532,CLNE
1533,CLNY
1534,CLNY-G
1535,CLNY-H
1536,CLNY-I
1537,CLNY-J
1538,CLOU
1539,CLPR
1540,CLPS
1541,CLPT
1542,CLR
1543,CLRB
1544,CLRBZ
1545,CLRG
1546,CLRO
1547,CLS
1548,CLSD
1549,CLSK
1550,CLSN
1551,CLTL
1552,CLUB
1553,CLVS
1554,CLW
1555,CLWT
1556,CLX
1557,CLXT
1558,CM
1559,CMA
1560,CMBM
1561,CMBS
1562,CMC
1563,CMCL
1564,CMCM
1565,CMCO
1566,CMCSA
1567,CMCT
1568,CMCTP
1569,CMD
1570,CMDY
1571,CME
1572,CMF
1573,CMFNL
